DRP.TYPE      DPR.CATG PRO.CATG
------------- -------- ---------------
DARK          CALIB    DARK_RAW
FLAT          CALIB    FLAT_RAW
P2VM          CALIB    P2VM_RAW
WAVE          CALIB    WAVE_RAW
WAVE,SC       CALIB    WAVESC_RAW
OBJECT,SINGLE SCIENCE  SINGLE_SCI_RAW
OBJECT,DUAL   SCIENCE  DUAL_SCI_RAW
OBJECT,SINGLE CALIB    SINGLE_CAL_RAW
OBKECT,DUAL   CALIB    SINGLE_CAL_RAW
STD,SINGLE    CALIB    SINGLE_CAL_RAW
STD,DUAL      CALIB    DUAL_CAL_RAW
SKY,SINGLE    CALIB    SINGLE_SKY_RAW
SKY,DUAL      CALIB    DUAL_SKY_RAW
SKY,SINGLE    SCIENCE  SINGLE_SKY_RAW
SKY,DUAL      SCIENCE  DUAL_SKY_RAW
