BIOGRID-ORGANISM-Zea_mays	"Maize, 4577, Zea mays"	Z. mays
BIOGRID-ORGANISM-Xenopus_laevis	"African clawed frog, 8355, Xenopus laevis"	X. laevis
BIOGRID-ORGANISM-Severe_acute_respiratory_syndrome_coronavirus_2	"SARS-CoV-2, 2697049, 2019-nCoV"	SARS-CoV-2
BIOGRID-ORGANISM-Severe_acute_respiratory_syndrome_coronavirus	"SARS-CoV, 694009, hCoV-SARS"	SARS-CoV
BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c	"Baker's yeast, 559292"	S. cerevisiae
BIOGRID-ORGANISM-Rattus_norvegicus	"Norway rat, 10116, Rattus norvegicus"	R. norvegicus
BIOGRID-ORGANISM-Mus_musculus	"House mouse, 10090, Mus musculus"	M. musculus
BIOGRID-ORGANISM-Human_papillomavirus_16	"HPV, 10566, Human papillomavirus"	HPV
BIOGRID-ORGANISM-Human_Immunodeficiency_Virus_2	"HIV-2, 11709, Human immunodeficiency virus 2"	HIV-2
BIOGRID-ORGANISM-Human_Immunodeficiency_Virus_1	"HIV-1, 11676, Human immunodeficiency virus 1"	HIV-1
BIOGRID-ORGANISM-Homo_sapiens	"Human, 9606, Homo sapiens"	H. sapiens
BIOGRID-ORGANISM-Middle-East_Respiratory_Syndrome-related_Coronavirus	"MERS-CoV, 1335626, MERS"	MERS-CoV
BIOGRID-ORGANISM-Drosophila_melanogaster	"Fruit fly, 7227, Drosophila melanogaster"	D. melanogaster
BIOGRID-ORGANISM-Danio_rerio	"Zebrafish, 7955, Danio rerio"	D. rerio
BIOGRID-ORGANISM-Caenorhabditis_elegans	"Roundworm, 6239, Cenorhabditis elegans"	C. elegans
BIOGRID-ORGANISM-Arabidopsis_thaliana_Columbia	"Thale cress, 3702, Arabidopsis thaliana"	A. thaliana
