domain,raw_count,processed_count
petparadiseresort.com,35,35
bakerbrosdeli.com,3,3
fallasstores.net,96,96
thedrybar.com,130,130
angelikafilmcenter.com,6,6
oceandental.net,20,20
pricecutteronline.com,21,21
thorntonsinc.com,192,192
papavinositaliankitchen.com,3,3
thebookrack.com,107,107
giovannispizzapower.com,97,97
modernmarket.com,32,32
nationalcashadvance.com,10,10
yvesdelorme.com,65,28
yogapod.com,13,13
myfoodbazaar.com,26,26
doghaus.com,36,36
allsaints.com,68,68
metfoods.com,19,19
rockbottom.com,26,26
sprintmart.com,89,89
ballarddesigns.com,14,14
paintingwithatwist.com,296,296
tindrumasiankitchen.com,11,11
nativegrillandwings.com,29,29
acelero.net,48,48
unclejulios.com,36,36
mutualofomahabank.com,28,28
roadys.com,188,188
burkewilliamsspa.com,10,10
buylowmarket.com,7,7
renasantbank.com,334,334
daphnes.biz,23,23
burgerlounge.com,25,25
ferrellgas.com,781,781
montanamikes.com,14,14
pacifictheatres.com,6,6
spring-market.com,24,24
superkingmarkets.com,8,8
morganjewelers.com,16,16
theliquorbarn.com,2,2
oceanfirstonline.com,80,80
brandymelvilleusa.com,93,34
bonobos.com,61,61
centralmarket.com,10,10
theprimerib.com,3,3
danielsjewelers.com,100,100
massimodutti.com,4,4
officetaverngrill.com,2,2
smartandfinal.com,260,260
piefivepizza.com,58,58
texassteakhouse.com,12,12
juanvaldezcafe.com,6,6
coxhealth.com,33,33
frontgate.com,6,6
medcotool.com,10,10
fbmsales.com,151,151
eagletransmission.com,25,25
thedaileymethod.com,44,44
roofdepot.com,26,26
vanheusen.com,150,150
ditchwitch.com,101,101
choicehotels.com/sleep-inn,389,389
villagetavern.com,10,10
dailygrill.com,13,13
cityfurniture.com,19,19
kidsrkids.com,166,166
mobil.com,11958,5050
olgas.com,27,27
pressedjuicery.com,76,76
thechristhospital.com,244,244
theathletesfoot.com,49,49
rainbowccc.com,163,163
heinebroscoffee.com,17,17
smiledoctors.com,164,164
pappasitos.com,24,24
lincoln.com,830,830
granitecityelectric.com,26,26
nyxcosmetics.com,42,42
roosterswings.com,42,42
speckspets.com,10,10
oilchangerinc.com,43,43
ilovedirtcheap.com,107,107
ctownsupermarkets.com,132,132
sammoon.com,7,7
megaplextheatres.com,15,15
mcsbnh.com,9,9
carrolltire.com,58,58
swatch.com,70,70
rioranchmarket.com,7,7
localfirstbank.com,108,108
tedscafe.com,10,10
oilstopinc.com,24,24
onehourheatandair.com,171,171
salonikigreek.com,3,3
kegsteakhouse.com,106,106
unfi.com,22,22
super1foods.com,47,47
labcorp.com,1877,1877
blackstonesteakhouse.com,4,4
romeospizza.com,35,35
muvfitness.com,13,13
millersmarkets.net,10,10
associatedbank.com,239,239
tylerstx.com,8,8
surftaco.com,14,14
paulmartinsamericangrill.com,11,11
nutritioncityonline.com,2,2
roti.com,42,42
franchise-biguine.com,3,3
workoutworld.com,11,11
ivars.com,24,24
monarchdental.com,245,76
boomerjacks.com,13,13
barreforte.com,11,11
cafe-express.com,7,7
emetabolic.com,115,115
ritecheck.com,14,14
multicare.org,468,468
ditkasrestaurants.com,3,3
northwesternmutual.com,7320,7320
7forallmankind.com,47,47
grimaldis.com,2,2
nealtire.com,25,25
micocinarestaurants.com,22,22
aroma.us,5,5
eddiemerlots.com,13,13
1800flowers.com,117,117
tristateopenmri.com,85,85
childcarenetwork.net,223,223
uhaul.com,19696,1811
saucepizzaandwine.com,16,16
blazingonion.com,7,7
drayerpt.com,168,168
normsrestaurants.com,19,19
cinemagicmovies.com,8,8
medexpress.com,284,284
mypiada.com,41,41
alaskacommercial.com,24,24
nextcare.com,143,143
foodkingcostplus.com,22,22
therockwfk.com,17,17
onelifefitness.com,36,36
oururgentcare.com,7,7
jackstackbbq.com,5,5
phoenixschools.com,8,8
sutterhealth.org,669,669
ironhillbrewery.com,17,17
drinkblenders.com,17,17
davannis.com,22,22
comfortsuites.com,589,589
metrodiner.com,72,72
midwest-dental.com,188,188
colormemine.com,117,117
wheelworks.net,29,29
midtown.com,8,8
champps.com,9,9
metromattress.com,52,52
sharkeyscutsforkids.com,62,62
staterbros.com,172,172
craveamerica.com,10,10
morganusa.com,7,7
chompies.com,5,5
marshallmedical.org,46,46
studiobarre.com,18,18
pilatesproworks.com,11,11
steppingstoneschool.com,19,19
andiamoitalia.com,8,8
mydrdental.com,44,44
1000degreespizza.com,40,40
oliverpeoples.com,37,37
